U AOA BETA Cd Cl Cs CmRoll CmPitch CmYaw
10 0 0 6.328047e-02 5.134004e-01 2.848245e-04 -8.532204e-05 -2.305650e-02 -3.538815e-05
10 0 10 6.859036e-02 5.103709e-01 4.178894e-02 6.153084e-03 -2.180484e-02 4.112943e-03
10 0 15 5.255707e-02 7.312987e-01 8.455344e-02 2.137143e-03 -3.451115e-02 6.287461e-03
10 0 5 6.368267e-02 5.145653e-01 6.622064e-03 1.307805e-03 -2.310503e-02 6.954595e-04
10 -10 0 1.256476e-01 -1.026945e-01 6.692657e-03 -7.929857e-04 1.935207e-02 -1.796713e-04
10 10 0 5.576051e-02 6.357222e-01 -2.755412e-03 9.395307e-04 -3.105645e-02 -2.091845e-04
10 -10 10 1.764794e-01 -3.243866e-01 7.925696e-02 6.616381e-02 3.452514e-02 1.620647e-02
10 10 10 4.213615e-03 1.120603e+00 8.988058e-02 -1.628021e-02 -5.793741e-02 2.564834e-03
10 -10 15 3.323064e-01 -1.577565e+00 1.669013e-01 1.180554e-01 1.663515e-01 3.243672e-02
10 10 15 -2.266775e-01 2.533323e+00 2.046426e-01 -3.075691e-02 -1.982330e-01 1.144563e-02
10 -10 5 1.969992e-01 -4.227827e-01 1.054506e-01 7.806943e-02 4.286021e-02 2.136548e-02
10 10 5 -3.207468e-02 1.393653e+00 1.184370e-01 -2.487581e-02 -7.163568e-02 9.122083e-04
10 15 0 3.031851e-02 8.918847e-01 -1.426004e-03 7.678614e-04 -4.735030e-02 -2.321942e-04
10 15 10 -1.401739e-01 1.873938e+00 3.322661e-01 -5.577062e-02 -8.234372e-02 9.883608e-04
10 15 15 1.152162e-01 2.084569e+00 2.132151e-01 -5.232680e-02 -5.290265e-02 9.973402e-06
10 15 5 -1.340556e-02 1.322641e+00 1.390301e-01 -3.332875e-02 -6.362500e-02 3.710562e-04
10 20 0 3.684676e-02 7.180903e-01 3.733526e-02 3.293947e-04 -3.791584e-02 2.510152e-03
10 20 10 -1.861067e-02 1.147549e+00 1.127075e-01 -1.744664e-02 -6.008665e-02 2.493302e-03
10 20 15 -1.588652e-01 1.854836e+00 2.329468e-01 -5.091598e-02 -8.413963e-02 -6.252262e-03
10 20 5 4.415582e-02 6.490273e-01 3.241949e-02 -1.974257e-03 -3.283140e-02 2.195478e-03
10 -5 0 6.566364e-02 4.612636e-01 -9.125266e-04 -2.553278e-04 -1.956423e-02 -1.517339e-04
10 5 0 6.351459e-02 5.445225e-01 1.640421e-03 7.895764e-05 -2.491414e-02 -1.087317e-04
10 -5 10 2.128967e-01 -6.313372e-01 1.708412e-01 1.031092e-01 4.621199e-02 2.430540e-02
10 5 10 -1.061642e-01 2.108498e+00 3.997922e-01 -8.936892e-02 -7.978131e-02 -5.861863e-03
10 -5 15 2.733083e-01 -6.063642e-01 9.957545e-02 1.307405e-01 4.519853e-02 2.630533e-02
10 5 15 -1.970641e-01 2.284735e+00 2.506593e-01 -6.137679e-02 -1.102329e-01 -8.657069e-03
10 -5 5 1.064464e-01 -5.108170e-02 5.878811e-02 3.815606e-02 1.525885e-02 8.893564e-03
10 5 5 -8.073955e-02 1.648876e+00 1.307507e-01 -2.532646e-02 -9.411579e-02 1.978685e-04
